# k/h z=0 z=0.5 z=1 z=3
1.467110364402026468e+00 2.701057920354514863e+02 1.143644155348520286e+02 5.077691998885133984e+01 4.630838774855680740e+00
1.473392908948962132e+00 2.687208562993611736e+02 1.138278431915118318e+02 5.055250484958459367e+01 4.598280661353093990e+00
1.479669965243598950e+00 2.673698708224146685e+02 1.133100646454683726e+02 5.033582198648216632e+01 4.568491814013217578e+00
1.485956144602843532e+00 2.659966684992113528e+02 1.127696851023211480e+02 5.010339278013682929e+01 4.532997082129774036e+00
1.492233610763115115e+00 2.646495754139974110e+02 1.122627380578290825e+02 4.989440114192648679e+01 4.504722810882149098e+00
1.498502470379980078e+00 2.633103094476118713e+02 1.117392819794039553e+02 4.967437469598982602e+01 4.473620770392404467e+00
1.504785752051182701e+00 2.619724518134650566e+02 1.112227746585341919e+02 4.945364424108238666e+01 4.440947747723694938e+00
1.511075991894575976e+00 2.606446936903426490e+02 1.107151130007285360e+02 4.924466076532173986e+01 4.413150029120741280e+00
1.517361634985162189e+00 2.593476436251595487e+02 1.102252237345169590e+02 4.905009723239092523e+01 4.388316064575444209e+00
1.523648570969130533e+00 2.580291355601179362e+02 1.097153002899592735e+02 4.883604631935968143e+01 4.358094046284463730e+00
1.529938035715892264e+00 2.567360144133407971e+02 1.092217765546085957e+02 4.863511557989490086e+01 4.332357094171480405e+00
1.536230176913891965e+00 2.554443096506075506e+02 1.087226136083692296e+02 4.842822701654589679e+01 4.303414965607902154e+00
1.542510718779388279e+00 2.541728077660645795e+02 1.082419399907681452e+02 4.823662537723279797e+01 4.280008060161518912e+00
1.548783963082980275e+00 2.529121827502075064e+02 1.077563647504857158e+02 4.803855843479048104e+01 4.253573220970659818e+00
1.555073069779651318e+00 2.516536354073885207e+02 1.072755770376045632e+02 4.784438665926020207e+01 4.229232490286495505e+00
1.561357324927233892e+00 2.504029284576902228e+02 1.068022028118968478e+02 4.765416975194565197e+01 4.205760405597955831e+00
1.567629121053141006e+00 2.491575788123178654e+02 1.063232300922769724e+02 4.745922812823058479e+01 4.180748241945559940e+00
1.573913697404382583e+00 2.479223762654112591e+02 1.058572245134962060e+02 4.727838235805590017e+01 4.159718803044254898e+00
1.580203545230874029e+00 2.466944219260422528e+02 1.053825581718987365e+02 4.708276867251337450e+01 4.134172839371553110e+00
1.586485393434537983e+00 2.454833102545195800e+02 1.049309961315956912e+02 4.691220142654982794e+01 4.118020498679528352e+00
1.592760014263005841e+00 2.442796394605803698e+02 1.044716022927342323e+02 4.672809837883807660e+01 4.094883986464568082e+00
1.599046436394670812e+00 2.430746709401870760e+02 1.040116891774024310e+02 4.654274743056733143e+01 4.072250449738007205e+00
1.605342136637478934e+00 2.418906742527944118e+02 1.035752722405058677e+02 4.638066259736107355e+01 4.058817105053937446e+00
1.611619860919608627e+00 2.407044243423964929e+02 1.031135882155510188e+02 4.619576974828336091e+01 4.034046009871731009e+00
1.617897597081673799e+00 2.395333626832689049e+02 1.026706565163771785e+02 4.602707775547512625e+01 4.017425981431453685e+00
1.624183235481122756e+00 2.383492324368799586e+02 1.022205543503345524e+02 4.584686234662911630e+01 3.996087717258918204e+00
1.630464598531913722e+00 2.372010115213440713e+02 1.017897331830339027e+02 4.568266200883015671e+01 3.980266081630208230e+00
1.636748985747638274e+00 2.360461726337843231e+02 1.013529789709697155e+02 4.552016648020086365e+01 3.964564083277089868e+00
1.643030923698886259e+00 2.349062176990773878e+02 1.009242364953276336e+02 4.535317316646207786e+01 3.947603592125131566e+00
1.649309176648513064e+00 2.337664897963561828e+02 1.004932174602317190e+02 4.519208473834511608e+01 3.932905907163992243e+00
1.655593633940351861e+00 2.326332054302518486e+02 1.000555806702643622e+02 4.501859544675674840e+01 3.913235296260225926e+00
1.661879571405086464e+00 2.315227594729064151e+02 9.964673010701179123e+01 4.487198701393992195e+01 3.903332631207307113e+00
1.668169361685170271e+00 2.303969359270992925e+02 9.921400188507027451e+01 4.470492502728304629e+01 3.886479488622163192e+00
1.674450151530487485e+00 2.293030865300585788e+02 9.880989880212705145e+01 4.455901199039127647e+01 3.875939855853880456e+00
1.680722718978495900e+00 2.281999061105325097e+02 9.839088427041326668e+01 4.440158448770052502e+01 3.862855912598146979e+00
1.687013891340952476e+00 2.271081406632590358e+02 9.797691179135973982e+01 4.424612874864779144e+01 3.848842587950680016e+00
1.693308984907921033e+00 2.260208005716313835e+02 9.756571475366804691e+01 4.409238575669694882e+01 3.837180166927823599e+00
1.699582147428448486e+00 2.249423817153207210e+02 9.716371528770282850e+01 4.394511709101674768e+01 3.826691067543288138e+00
1.705863747055134105e+00 2.238712786383570403e+02 9.675746687561942849e+01 4.379426178833563199e+01 3.814812715927495823e+00
1.712154434283889470e+00 2.228168101130357570e+02 9.636704190618037558e+01 4.365842091531818880e+01 3.808786908401829319e+00
1.718438381579399321e+00 2.217539448474487926e+02 9.595655665792652655e+01 4.350090274215789066e+01 3.794624143578761988e+00
1.724721264464063930e+00 2.207080349171569935e+02 9.556756059502676237e+01 4.336382359631583938e+01 3.788478541262857657e+00
1.730997441276920679e+00 2.196605539713255553e+02 9.517131949725582274e+01 4.322099491638185498e+01 3.778852665579026215e+00
1.737287073528269499e+00 2.186235432585357330e+02 9.477778811926192759e+01 4.307676632486016643e+01 3.770375544787147870e+00
1.743567991878527401e+00 2.176074472931583159e+02 9.440339599822901562e+01 4.295083864890988679e+01 3.767882325654186459e+00
1.749840680212231048e+00 2.165803803366439695e+02 9.400674672038827850e+01 4.280230419853711510e+01 3.757210498869342441e+00
1.756128549091961144e+00 2.155659361898078998e+02 9.363190354070877675e+01 4.266893377882046678e+01 3.752194256051602839e+00
1.762413535324792502e+00 2.145501314031024265e+02 9.324434931031325391e+01 4.252656584761950853e+01 3.743785406446182407e+00
1.768696187669963837e+00 2.135533849520725482e+02 9.287395087457527154e+01 4.240141159662266546e+01 3.742130281133004832e+00
1.774979359379055266e+00 2.125550040157709475e+02 9.249412502556718607e+01 4.226558945502514320e+01 3.736327392540101044e+00
1.781265555576432957e+00 2.115696162410842192e+02 9.212594846431370854e+01 4.213939057779098363e+01 3.733897931352896826e+00
1.787549427830244619e+00 2.105906641079446615e+02 9.175867412192741313e+01 4.201289517351997205e+01 3.732039872159372607e+00
1.793834120011633004e+00 2.096163790007458942e+02 9.138487484375193048e+01 4.187825589598136133e+01 3.726062863025611183e+00
1.800115051552487300e+00 2.086466230722489570e+02 9.102225347904581554e+01 4.175636370523335472e+01 3.726997906118826975e+00
1.806393904854530330e+00 2.076766352573178267e+02 9.064957419607486599e+01 4.161690253291780550e+01 3.720494386541608467e+00
1.812674089667083432e+00 2.067239340296319767e+02 9.029682685893271810e+01 4.150050169213389495e+01 3.722061619568103996e+00
1.818956920109354058e+00 2.057712755029368452e+02 8.993849238412967395e+01 4.137750046141812987e+01 3.721978461780760750e+00
1.825244164118212220e+00 2.048292616838609206e+02 8.958503915924421790e+01 4.125970363241567895e+01 3.723883967555368546e+00
1.831527256642196955e+00 2.038887030955513637e+02 8.922374294695167407e+01 4.113213559016121224e+01 3.722659352349714013e+00
1.837811294935716599e+00 2.029603665944196962e+02 8.887407348341835700e+01 4.101369019191481158e+01 3.723646790156563746e+00
1.844100717411196744e+00 2.020316086208860042e+02 8.853485649385818590e+01 4.090522457786483557e+01 3.730302800382229389e+00
1.850384816792487230e+00 2.011079187484942565e+02 8.817294373351751346e+01 4.077245485627999244e+01 3.726853750863762471e+00
1.856666059735203822e+00 2.001941237037721351e+02 8.782792964199954611e+01 4.065519395181409834e+01 3.729869511351353140e+00
1.862947728675613979e+00 1.992924653881318022e+02 8.749379596849561835e+01 4.055036200854434014e+01 3.738294384090871336e+00
1.869229324466858078e+00 1.983901081586725184e+02 8.715046072113923969e+01 4.043058715542721160e+01 3.738924999309769071e+00
1.875517616802973686e+00 1.974895972852783927e+02 8.680255182457675289e+01 4.031226030894838885e+01 3.743189153538737379e+00
1.881800769033795229e+00 1.966009183960663051e+02 8.646632965883908639e+01 4.019792856082047194e+01 3.747789515490869583e+00
1.888078863416442710e+00 1.957155045633241457e+02 8.613154735070253309e+01 4.008917161949924690e+01 3.754643381751257891e+00
1.894353975182237582e+00 1.948390187811301359e+02 8.580504244851114493e+01 3.998498761222514730e+01 3.764189500402161492e+00
1.900642716154182565e+00 1.939639446766630613e+02 8.546832126788349626e+01 3.986261506643778318e+01 3.765296390725943354e+00
1.906933494748685121e+00 1.930965514243844154e+02 8.514042058531917689e+01 3.975981602812723281e+01 3.777363211589713554e+00
1.913207568676573933e+00 1.922354514569815365e+02 8.481547071949817962e+01 3.965139461822096933e+01 3.784209642768384452e+00
1.919490884732178992e+00 1.913834669011742449e+02 8.449330564235665975e+01 3.954856071366652515e+01 3.795338381046647225e+00
1.925776855684274480e+00 1.905251610804709514e+02 8.416143867349296670e+01 3.943180509025544467e+01 3.801471868799984666e+00
1.932064452961978152e+00 1.896830005907695238e+02 8.383870576366652472e+01 3.932537318237336876e+01 3.810008618937230196e+00
1.938342610030488800e+00 1.888483037574553123e+02 8.352944005886946854e+01 3.923490502010265857e+01 3.827950892700170638e+00
1.944618341543410178e+00 1.880101229510091230e+02 8.320258186360004515e+01 3.911562715243032784e+01 3.831067920832098128e+00
1.950906260203513876e+00 1.871827705181415809e+02 8.289173083494159755e+01 3.901894005159449108e+01 3.846907599931414179e+00
1.957194556613796488e+00 1.863537956937740887e+02 8.257224851146723665e+01 3.891240275310315155e+01 3.857607540081112951e+00
1.963479614559011432e+00 1.855391365491848319e+02 8.226046733358992924e+01 3.880915099513710231e+01 3.869656127652494781e+00
1.969760361532916226e+00 1.847299281234434432e+02 8.195882121927920139e+01 3.871810729025413877e+01 3.889912581016583992e+00
1.976048367034604736e+00 1.839191252337793117e+02 8.163735777181877040e+01 3.860086731929779091e+01 3.893958833185873214e+00
1.982337990217652335e+00 1.831203137477465077e+02 8.134230625651903779e+01 3.851726058267102815e+01 3.918031968042484436e+00
1.988617489259562721e+00 1.823225453496646082e+02 8.103267999585361281e+01 3.841252995271960913e+01 3.930597690796296284e+00
1.994896320665194178e+00 1.815289925573895289e+02 8.073029094490908619e+01 3.831457202196886414e+01 3.947141256454166136e+00
2.001179596222827151e+00 1.807384904128539915e+02 8.042431944152032486e+01 3.820955886366541421e+01 3.959496544165446608e+00
2.007459756923499761e+00 1.799609163270693557e+02 8.012842363280510938e+01 3.811788830409966522e+01 3.979174002253354825e+00
2.013737397779169935e+00 1.791841696100255490e+02 7.983152211720732794e+01 3.802140739910329614e+01 3.999383425134519499e+00
2.020017234677497164e+00 1.784141811691715134e+02 7.953353656893965251e+01 3.792300855733861198e+01 4.014951465403833630e+00
2.026310251015072783e+00 1.776497339276343723e+02 7.923991875566989052e+01 3.782823408748825500e+01 4.033169284868402649e+00
2.032600542948020284e+00 1.768838210766122927e+02 7.894503624569779276e+01 3.773217389885826378e+01 4.053297363370839790e+00
2.038873863192099289e+00 1.761312656645336290e+02 7.865797919284335649e+01 3.764170806374218614e+01 4.077374687656681651e+00
2.045154087821675404e+00 1.753759880184675808e+02 7.836367753109264811e+01 3.754462842565640557e+01 4.096647959539634343e+00
2.051444704514288730e+00 1.746356073321971962e+02 7.808272794533530714e+01 3.745668119383137906e+01 4.119251724211067334e+00
2.057730430280644729e+00 1.738935615399211656e+02 7.779472174643339599e+01 3.736265484674057546e+01 4.142039780554757300e+00
2.064013940455224461e+00 1.731570992889475065e+02 7.751194876066026040e+01 3.727399343116922381e+01 4.165671203626527763e+00
2.070299891179459895e+00 1.724219132578209326e+02 7.722194618715795400e+01 3.717091544035349671e+01 4.184725206605694581e+00
2.076589719964883951e+00 1.716997224654550678e+02 7.694785340162037812e+01 3.709050189446544010e+01 4.213423391891980785e+00
2.082865483794470673e+00 1.709763185734079798e+02 7.666732625265164813e+01 3.699631568937639514e+01 4.235837129813401880e+00
2.089134494859368640e+00 1.702610617667138513e+02 7.638771238435164435e+01 3.690596535833000047e+01 4.261932256089129289e+00
2.095424211360070288e+00 1.695461585271899878e+02 7.611303310725078575e+01 3.681659398139474604e+01 4.287097778300523743e+00
2.101707116664804254e+00 1.688416395650077106e+02 7.584177980912349426e+01 3.673362700409240489e+01 4.318665605991676593e+00
2.107986473933564309e+00 1.681373753507883464e+02 7.557174956950447609e+01 3.664392125511295717e+01 4.342116012295699434e+00
2.114271806543862375e+00 1.674357094885762081e+02 7.529257229705660848e+01 3.654918145554383102e+01 4.368251500425361478e+00
2.120552717288892275e+00 1.667485900070461753e+02 7.502643221098563231e+01 3.646787394058664233e+01 4.402272180804707169e+00
2.126836933207161717e+00 1.660580927335839192e+02 7.475551488551342061e+01 3.637520666191918650e+01 4.425664910747003411e+00
2.133122044791171845e+00 1.653778427343531803e+02 7.449829036464664966e+01 3.630184639118716916e+01 4.464746964361681947e+00
2.139411711910842673e+00 1.646890635819540876e+02 7.422641037442470235e+01 3.620489062183663975e+01 4.488343048574179761e+00
2.145697076775292089e+00 1.640146481231001303e+02 7.396342097983189490e+01 3.612181172109970362e+01 4.521347100768589478e+00
2.151973548606471276e+00 1.633515279400240559e+02 7.370938833705815796e+01 3.604711675215777689e+01 4.560860706522455565e+00
2.158259913555724108e+00 1.626806728786390863e+02 7.344019593801901635e+01 3.595101260829483891e+01 4.583358106846898039e+00
2.164545396699105506e+00 1.620211687578924682e+02 7.318793601268737348e+01 3.587562634338858203e+01 4.625597721816668617e+00
2.170830700377734068e+00 1.613595728277695684e+02 7.292614090664606863e+01 3.578347512674197617e+01 4.650869501676299755e+00
2.177114138849150393e+00 1.607092989640299265e+02 7.267522624623101990e+01 3.570963271868561861e+01 4.693834755478211385e+00
2.183387647576827018e+00 1.600588225010149870e+02 7.242030264820195384e+01 3.562345848548393690e+01 4.726997984625280758e+00
2.189670273687676971e+00 1.594163025891020027e+02 7.216951968167703058e+01 3.554093780313270656e+01 4.758783925544145532e+00
2.195960147934207463e+00 1.587738569729349649e+02 7.191627857682648539e+01 3.545741204047737227e+01 4.799422123584482947e+00
2.202242556317716371e+00 1.581413701017625613e+02 7.166621702746829214e+01 3.537354740764482841e+01 4.829275815987040588e+00
2.208521655981037668e+00 1.575149186698169785e+02 7.142359260557601885e+01 3.530353065467368623e+01 4.877611367403865472e+00
2.214804637081333016e+00 1.568864100803657777e+02 7.117627815182615336e+01 3.521836276064864535e+01 4.911179057342332399e+00
2.221092583349425276e+00 1.562635163576774744e+02 7.093323972724955695e+01 3.514173114464428949e+01 4.952517195676408690e+00
2.227372893591468728e+00 1.556469417982441144e+02 7.068786539821090287e+01 3.505911970555940371e+01 4.993527861091108022e+00
2.233657161144248171e+00 1.550327777760144272e+02 7.044995422270325491e+01 3.498571061767690793e+01 5.035899129378178962e+00
2.239943485394438660e+00 1.544240050006844172e+02 7.020685605249795458e+01 3.490200809460576892e+01 5.077105704960927390e+00
2.246224175264620815e+00 1.538214761487129181e+02 6.997226327058736217e+01 3.482737121481192588e+01 5.113884077671164263e+00
2.252506378421252009e+00 1.532187705548867598e+02 6.973234119439425172e+01 3.474703577682278421e+01 5.156869056868128354e+00
2.258783417054270437e+00 1.526220630043085009e+02 6.950007197241946244e+01 3.467401315005706408e+01 5.203623894185732013e+00
2.265069077371457684e+00 1.520256486129754592e+02 6.926154125843667941e+01 3.458965535354625587e+01 5.235675682504586703e+00
2.271350377044131452e+00 1.514442343230444692e+02 6.903465663202858593e+01 3.452452117059263514e+01 5.294730381519204165e+00
2.277633995145353918e+00 1.508564184127685337e+02 6.879895070881937613e+01 3.444101314087530596e+01 5.330565377043533282e+00
2.283922419579920149e+00 1.502772352172567878e+02 6.857308394586634392e+01 3.437294808849878791e+01 5.387966803266959204e+00
2.290202874392252674e+00 1.497031460666456439e+02 6.834596671118360689e+01 3.429564482409617909e+01 5.426606901360865542e+00
2.296490779970905560e+00 1.491291001970318462e+02 6.811909502910806680e+01 3.422115500307067038e+01 5.469732258320481044e+00
2.302771769934229162e+00 1.485644755492758406e+02 6.789296156737350429e+01 3.414713178723666687e+01 5.525152659112415598e+00
2.309051364164305564e+00 1.480006709180051132e+02 6.767349256529080037e+01 3.407728637760455115e+01 5.569941732369423804e+00
2.315338502539088239e+00 1.474398995332436755e+02 6.744855138504229330e+01 3.400104925235756781e+01 5.617339779756664875e+00
2.321627336503874428e+00 1.468837095953354890e+02 6.722859278695456453e+01 3.392804044501989580e+01 5.662538561029511364e+00
2.327911878297218795e+00 1.463332493958914142e+02 6.701240639990611214e+01 3.385882673195850145e+01 5.716702422922446125e+00
2.334186238580297168e+00 1.457867736202059348e+02 6.679353964039513869e+01 3.378731595795427012e+01 5.767554043072307124e+00
2.340467971862688401e+00 1.452428977474289695e+02 6.657661074046635008e+01 3.371309705887265551e+01 5.812441709075598872e+00
2.346756940970738725e+00 1.447043933298558613e+02 6.636514533589934217e+01 3.364756565896102813e+01 5.870022516789968670e+00
2.353044444556199988e+00 1.441645269806180636e+02 6.614804994729108500e+01 3.357120123003574719e+01 5.915038170707219933e+00
2.359327653314069906e+00 1.436375978826567348e+02 6.594146673617937893e+01 3.350981560474241405e+01 5.973517324523591299e+00
2.365603048789861607e+00 1.431125170082604825e+02 6.572992996892935480e+01 3.343571038972417142e+01 6.024574617066265958e+00
2.371885911737665165e+00 1.425874683603430242e+02 6.552382270768978856e+01 3.336964666661577894e+01 6.071139679731494709e+00
2.378173303594019572e+00 1.420690186187798076e+02 6.531541023416129121e+01 3.330306993340713007e+01 6.136360860221768299e+00
2.384454016539381271e+00 1.415540040756566498e+02 6.511062830003380952e+01 3.323424895558420644e+01 6.181971726841038794e+00
2.390736447344785187e+00 1.410439025684700596e+02 6.490459215470097831e+01 3.316427007122797477e+01 6.237439748486235835e+00
2.397014133897952259e+00 1.405339110137803118e+02 6.470260142183205687e+01 3.309588642549222470e+01 6.290870642875531438e+00
2.403295490074321972e+00 1.400333369537415535e+02 6.450664637160213033e+01 3.303765651077265630e+01 6.349002670074170851e+00
2.409585049672506862e+00 1.395351691542729498e+02 6.430724668965217461e+01 3.297282416830880436e+01 6.409186419742333385e+00
2.415871703165322071e+00 1.390317541026127515e+02 6.410463100655616131e+01 3.290122184730152100e+01 6.455082491461970662e+00
2.422160652369088840e+00 1.385449893794346394e+02 6.390846705986230347e+01 3.283700349631523352e+01 6.514856703675916627e+00
2.428440167222748691e+00 1.380573498225900835e+02 6.371973041786734626e+01 3.278110483383571960e+01 6.580185524495821170e+00
2.434717472383889803e+00 1.375678028488173652e+02 6.351712229807755250e+01 3.270404371233992435e+01 6.620238086933678545e+00
2.441002456202044257e+00 1.370935454719589188e+02 6.333228487286388741e+01 3.265288768929482188e+01 6.693545371079431483e+00
2.447289980304530488e+00 1.366131312078131259e+02 6.314024815158259685e+01 3.258852969977358782e+01 6.744483839479953780e+00
2.453571844729242279e+00 1.361466378563853539e+02 6.295291183739212926e+01 3.252614250995006273e+01 6.806283795120508628e+00
2.459852705114058846e+00 1.356723624207415639e+02 6.276264467770221245e+01 3.246207764869183876e+01 6.853069747087181085e+00
2.466139233225018934e+00 1.352097252721686118e+02 6.257597870252332228e+01 3.239964404354764582e+01 6.916688984472785684e+00
2.472421963421291391e+00 1.347494299214866373e+02 6.239423241656483299e+01 3.234402732012808457e+01 6.981774597398130666e+00
2.478698519174224568e+00 1.342935290160836530e+02 6.221170357936642148e+01 3.228491055998066628e+01 7.041245335324700427e+00
2.484980841400355800e+00 1.338405155363061283e+02 6.202955760363626325e+01 3.222209673647379446e+01 7.090512281394720340e+00
2.491269319409339822e+00 1.333874865935613627e+02 6.184635642009866530e+01 3.216057400335937899e+01 7.142454754988546206e+00
2.497548505139029373e+00 1.329439744817582039e+02 6.167170882669549314e+01 3.210800770857699149e+01 7.224890356623322241e+00
2.503831667172610853e+00 1.325043145017450854e+02 6.149614213147689412e+01 3.205009548347344861e+01 7.269861431800278773e+00
2.510117938323931153e+00 1.320634889222111781e+02 6.131916840022938686e+01 3.199221730899996885e+01 7.335078115245687869e+00
2.516400733681277480e+00 1.316298539767880413e+02 6.114405734248760638e+01 3.193414945232040125e+01 7.392551088473471310e+00
2.522688226833368130e+00 1.311976811617085161e+02 6.097225978191930551e+01 3.187922125987718047e+01 7.448998315304002027e+00
2.528971695852665569e+00 1.307784974483321605e+02 6.080481213319499290e+01 3.182903185899571596e+01 7.524440062142925711e+00
2.535252039407670299e+00 1.303487851107450410e+02 6.063108315557450823e+01 3.176722512431384615e+01 7.563666544898579147e+00
2.541537514142774512e+00 1.299344293583556578e+02 6.046630705262254679e+01 3.171723911843624322e+01 7.633133364250318742e+00
2.547823008847572179e+00 1.295162734400293800e+02 6.029693418619688572e+01 3.165856638560004299e+01 7.692261159656380798e+00
2.554100666580690238e+00 1.291089469630119879e+02 6.013770312449567967e+01 3.161463683569183658e+01 7.760107671537192608e+00
2.560376788884177301e+00 1.286994525238068547e+02 5.996782081858405178e+01 3.155128232333463600e+01 7.810805676018434340e+00
2.566667521601497359e+00 1.282938673187282461e+02 5.981213922574112019e+01 3.150798479069391789e+01 7.864520070331786350e+00
2.572955062237090473e+00 1.278975046637156794e+02 5.964849899741984274e+01 3.145254794771243567e+01 7.932480177954803757e+00
2.579233771797999175e+00 1.274990255302833901e+02 5.949148941372058630e+01 3.140328853076129789e+01 7.994820528636361168e+00
2.585520164300948220e+00 1.271070768366718227e+02 5.933359335348241359e+01 3.135258374980455898e+01 8.049337986827453051e+00
2.591805130332431872e+00 1.267201801692441165e+02 5.917668231974202797e+01 3.130153021624999354e+01 8.116922478667415675e+00
2.598084074692260881e+00 1.263401149927704807e+02 5.902993513172167894e+01 3.126165138102342667e+01 8.174553345362580714e+00
2.604360404197643586e+00 1.259570031315243739e+02 5.887285417183659320e+01 3.120738701424133765e+01 8.236252946617822701e+00
2.610647185140439142e+00 1.255774907174537844e+02 5.872267515153946960e+01 3.115981962777299685e+01 8.280125489845095998e+00
2.616931864059273138e+00 1.252032274899334681e+02 5.857190237922814191e+01 3.111136498129560479e+01 8.349650156249154520e+00
2.623206107911065565e+00 1.248453913824546646e+02 5.843117216959517179e+01 3.107260364716285039e+01 8.417985037321914277e+00
2.629491626543270844e+00 1.244648061184832244e+02 5.827560407651568397e+01 3.101591524440033965e+01 8.461858485314879275e+00
2.635778507982642349e+00 1.241157930631708979e+02 5.813798265166118284e+01 3.097864217804933773e+01 8.528805262081004201e+00
2.642061039325260818e+00 1.237510411109876145e+02 5.799413785678515865e+01 3.093418399556755460e+01 8.576761623359955067e+00
2.648343840729305843e+00 1.234005405895014746e+02 5.785403280601200038e+01 3.089102190672460679e+01 8.650005115396005806e+00
2.654631838974855551e+00 1.230461058362493247e+02 5.771006301101630243e+01 3.084382731649012754e+01 8.697487803109158477e+00
2.660919001246303761e+00 1.226998681383719401e+02 5.757326166455584371e+01 3.080255521451024592e+01 8.768380065885768460e+00
2.667198525130066056e+00 1.223669010863251998e+02 5.744287305484861150e+01 3.076669052217328471e+01 8.821155298710843695e+00
2.673484307038032526e+00 1.220259407060868995e+02 5.730874134189814129e+01 3.072833976919632448e+01 8.885465411679698278e+00
2.679773388053849459e+00 1.216901144623146109e+02 5.717200466553935456e+01 3.068239102278413100e+01 8.936887859612076213e+00
2.686058217632288692e+00 1.213549780547657662e+02 5.703930261807911961e+01 3.064107267129706003e+01 8.985680444610268935e+00
2.692338738200057868e+00 1.210394387058861128e+02 5.691510810761113248e+01 3.061156879538754438e+01 9.057623836314498078e+00
2.698618022887226964e+00 1.207088216894728419e+02 5.678237531943374705e+01 3.056481695695890366e+01 9.100104660330705642e+00
2.704895450708277860e+00 1.203904098165926513e+02 5.665643749055146827e+01 3.052972572647991356e+01 9.155611449906295718e+00
2.711175674923682166e+00 1.200807612772137816e+02 5.653429358670373261e+01 3.049387479569475801e+01 9.219070699542479375e+00
2.717459832966957922e+00 1.197684366352396097e+02 5.641305562370595084e+01 3.046074275740232551e+01 9.264335386645511150e+00
2.723745731959044569e+00 1.194631169710501126e+02 5.629016377436204266e+01 3.042411160986925722e+01 9.327500955187140619e+00
2.730038414850594730e+00 1.191607472880871086e+02 5.617004885910419887e+01 3.038923451145173971e+01 9.377434685173541951e+00
2.736317989800789441e+00 1.188633217573543277e+02 5.605641944553572387e+01 3.036265244541328201e+01 9.458820975624769645e+00
2.742591858549239703e+00 1.185705203758789281e+02 5.593815029858718901e+01 3.032272587414261977e+01 9.492772785234189215e+00
2.748879749010778362e+00 1.182763799108315368e+02 5.582454667273978544e+01 3.029609561818683616e+01 9.548253659888709777e+00
2.755163403825859447e+00 1.179955940584424354e+02 5.571232769024786080e+01 3.026295765770182555e+01 9.604835547180814004e+00
2.761446955625852073e+00 1.177135473872392168e+02 5.560269758631596204e+01 3.023523553589862445e+01 9.660073339703821205e+00
2.767732088935374701e+00 1.174339295525210218e+02 5.549353574283192359e+01 3.020533747044634509e+01 9.713894928011004737e+00
2.774015452421743966e+00 1.171603556758354046e+02 5.538490297642631077e+01 3.017294740293629829e+01 9.758151510939617523e+00
2.780298635700591436e+00 1.168879242173991599e+02 5.528065186789992680e+01 3.014956067055825528e+01 9.819393528020416539e+00
2.786577474762241380e+00 1.166250593292925828e+02 5.517604336933895581e+01 3.011991197060843817e+01 9.875261643534175349e+00
2.792857983210164541e+00 1.163669688503696591e+02 5.507874622626588490e+01 3.010017548830756695e+01 9.928876408705130885e+00
2.799143790920211483e+00 1.161072904025252228e+02 5.497554463153110760e+01 3.006912534325385522e+01 9.970886507613336391e+00
2.805430058399325244e+00 1.158598126827473180e+02 5.488259205808478924e+01 3.005101231323132183e+01 1.004231456325696392e+01
2.811715058209780072e+00 1.156043923582214603e+02 5.478194309766639947e+01 3.002412597102377489e+01 1.007609211155282125e+01
2.817989272498773623e+00 1.153680661290887031e+02 5.469167905080561809e+01 3.000291451685281885e+01 1.014472425153856250e+01
2.824269171595737760e+00 1.151152018341541918e+02 5.459351946787992205e+01 2.997678511552234326e+01 1.016589415295497290e+01
2.830563016441804081e+00 1.148947842453248711e+02 5.451167820566189448e+01 2.996285296499912931e+01 1.024194022204022048e+01
2.836848750951622034e+00 1.146614855985826438e+02 5.442233444712287138e+01 2.994485549545817804e+01 1.030177935854842453e+01
2.843130027866129783e+00 1.144259074540610470e+02 5.433078800671881226e+01 2.992113257152087868e+01 1.034992168090361275e+01
2.849413896912404986e+00 1.142138544255655859e+02 5.425265600851195558e+01 2.990640287334074898e+01 1.039914410521070742e+01
2.855697464522425566e+00 1.139858050406140251e+02 5.416708744980476098e+01 2.988953269296267123e+01 1.044337213564641154e+01
2.861978799810683594e+00 1.137849257238918881e+02 5.409175742893118866e+01 2.987532893788961275e+01 1.050457468753830348e+01
2.868262469415629567e+00 1.135608899289183000e+02 5.400414602488337579e+01 2.985489760668762571e+01 1.054040214911428741e+01
2.874547359206753860e+00 1.133699351362426739e+02 5.393733865547800121e+01 2.984954127125757850e+01 1.060761666742829590e+01
2.880831111471525041e+00 1.131698718804469337e+02 5.386129248710543749e+01 2.983322976059820419e+01 1.065478081252317288e+01
2.887113216972382546e+00 1.129647913904998120e+02 5.378514831292973497e+01 2.982001753797000987e+01 1.069918355374912267e+01
2.893394504725182781e+00 1.127816564383731759e+02 5.371856404804809415e+01 2.981029486926009042e+01 1.075906691608967236e+01
2.899673662137033592e+00 1.125884577155792101e+02 5.364833505076956044e+01 2.980113030173679078e+01 1.080286987953739697e+01
2.905953958587380814e+00 1.124179923284181513e+02 5.358725548505003644e+01 2.979426858320811178e+01 1.085762532198030783e+01
2.912241118105161064e+00 1.122381540985461044e+02 5.352113498130837144e+01 2.978475189857422478e+01 1.091124554833663396e+01
2.918525996366671205e+00 1.120680636062922133e+02 5.346244745800633069e+01 2.978325314333561025e+01 1.097523646551794840e+01
