# k/h z=0 z=0.5 z=1 z=3
1.223669666537485351e-01 4.572540776582112812e+03 2.683207237316217743e+03 1.663638067737503434e+03 4.463360023278210065e+02
1.286817263090294094e-01 4.343060136564611639e+03 2.550551969254665437e+03 1.582368967527173936e+03 4.248534139602656410e+02
1.349500801664080818e-01 4.102350016532655900e+03 2.406385131358213130e+03 1.491938450315372847e+03 4.001296276143488626e+02
1.411949558842147678e-01 3.846247242738924342e+03 2.247146048281997992e+03 1.389666742328931377e+03 3.713010511340150970e+02
1.475133575747468451e-01 3.588107853252992754e+03 2.082787405323610074e+03 1.282522977398845114e+03 3.405008878653528654e+02
1.537865074252268427e-01 3.352150099934925493e+03 1.930619147443842621e+03 1.182452373009668690e+03 3.113702811229357508e+02
1.600657544051110326e-01 3.146577436592960566e+03 1.798116013734568014e+03 1.095288219087621428e+03 2.859658200356134330e+02
1.663991168687080635e-01 2.972951385491496239e+03 1.688394588919256194e+03 1.023938886164129030e+03 2.654634439296636970e+02
1.727195645776442856e-01 2.831153206206828145e+03 1.602145874993500001e+03 9.693196497624163612e+02 2.503502147187291200e+02
1.789765213377084718e-01 2.712619870276257188e+03 1.532725186923228421e+03 9.266475073244642999e+02 2.390980622984319837e+02
1.852353690647852158e-01 2.606342948146483195e+03 1.471857910099200353e+03 8.899199232535163446e+02 2.297132351060178621e+02
1.914806787341157279e-01 2.505958497082226131e+03 1.413908932523140265e+03 8.547715377615314765e+02 2.206629190156433538e+02
1.977889868651535599e-01 2.404950782059339872e+03 1.353575894574652693e+03 8.171809487012388900e+02 2.105572528604896831e+02
2.040937735447724277e-01 2.306468764296115296e+03 1.292627455301119880e+03 7.780998335820327156e+02 1.995306402808854784e+02
2.103939302609846018e-01 2.211467863407629920e+03 1.231804243066277195e+03 7.380382646676596323e+02 1.877447866211878704e+02
2.166909709822301688e-01 2.121094956938459291e+03 1.173379046597402521e+03 6.992142481791622686e+02 1.761537237496259820e+02
2.229700281216152047e-01 2.039772278807473185e+03 1.120868313772114107e+03 6.643138357521273747e+02 1.657116192936415473e+02
2.292620027086341994e-01 1.965599229578808036e+03 1.073929417789584249e+03 6.335648707121896450e+02 1.567044879661485766e+02
2.355141508366812297e-01 1.899253245944225455e+03 1.033227857582983916e+03 6.075855661044830640e+02 1.494208643308749345e+02
2.417910583817859116e-01 1.838191345138887073e+03 9.966738479338397383e+02 5.848755146422691951e+02 1.433866740745785364e+02
2.480856539439619257e-01 1.780764091319706040e+03 9.628957364564947738e+02 5.642551655742880712e+02 1.381194282071741668e+02
2.543492256872954549e-01 1.727810460234509492e+03 9.317425415806422961e+02 5.452248207434789720e+02 1.332481616669964239e+02
2.606334251884805386e-01 1.676392462134374682e+03 9.009205436594843377e+02 5.260793459527399136e+02 1.282005895549301897e+02
2.669257370896960802e-01 1.627736199414685871e+03 8.712387840758256061e+02 5.072517043753495045e+02 1.229787295126560878e+02
2.732423343141155980e-01 1.581264900716773582e+03 8.424049064490924366e+02 4.886398840227636242e+02 1.176368225383541528e+02
2.795529680084415936e-01 1.536981512346173304e+03 8.147083229654873548e+02 4.705421130620499071e+02 1.123001381805229784e+02
2.858366292314493129e-01 1.495182270730980690e+03 7.886109095281054806e+02 4.535102903748113476e+02 1.072709161470690162e+02
2.920876271394311496e-01 1.456548698354799853e+03 7.646716982374879308e+02 4.380021747208220404e+02 1.027550433496848399e+02
2.983449844439822751e-01 1.419728700425240731e+03 7.421670971307555646e+02 4.236508342258336484e+02 9.871264831570428555e+01
3.046382639407197446e-01 1.384683120536882143e+03 7.211403389730440949e+02 4.104676968384449651e+02 9.514604752010953348e+01
3.109279127003197196e-01 1.351714943607884379e+03 7.013382747677903808e+02 3.981529657044542887e+02 9.191232799006709797e+01
3.172168171618398036e-01 1.320642011835733001e+03 6.828247938799709118e+02 3.867140086577551870e+02 8.894233859207913895e+01
3.235187567944423082e-01 1.290595610464122728e+03 6.648528076490537160e+02 3.755353764533808203e+02 8.601478275220760850e+01
3.298168217550395687e-01 1.262108320692996585e+03 6.476703637036870305e+02 3.647718968350392288e+02 8.312601710185340664e+01
